Category,Qty Sold,Profit,Total Sales
DANCEWEAR,3771.0,62407.27,101241.76
SUPPLEMENTS MENS,6514.0,57927.450000000004,77448.47
RHINESTONE JEWELRY,1902.0,35028.17,57450.27
BOXED LINGERIE,1441.0,23198.92,36783.53
WANDS CORDLESS,483.0,16069.42,28186.98
PASTIES,1614.0,14751.68,23764.56
MINI AND PETITE CORDLESS,711.0,14572.18,22973.68
AIR PRESSURE SUCTION,292.0,14088.73,24277.920000000002
WHIPS PADDLES CROPS SLAPPERS,655.0,13980.97,23927.14
DONGS AND DILDOS,458.0,13595.29,21046.0
SUPPLEMENTS WOMENS,1637.0,13365.29,18307.09
FASHION JEWELRY,551.0,11779.42,19477.27
WEARABLE WIRELESS REMOTE CON,224.0,11714.59,23477.0
GAGS COLLARS WRSTBNDS LEASHES,717.0,10896.42,18107.489999999998
QUEEN SIZE,609.0,10842.92,16854.51
SHOES,251.0,10763.93,16676.739999999998
DUAL AND TRIPLE STIMS,225.0,10467.64,17994.48
FASHION HATS,358.0,9841.78,16808.78
SUNDRIES,3088.0,8919.94,16347.36
ANAL PLUGS BEADS PROBES,293.0,8155.24,13657.61
