Department,Qty Sold,Profit,Total Sales
APPAREL,8894.0,165314.86,265935.02999999997
VIBES,3321.0,102605.38,182253.41
BODY AND WELLNESS,10607.0,82360.08,114119.56
FETISH,2890.0,54289.84,90747.38
JEWELRY,2889.0,50138.35,81314.34
NONVIBES AND RUBBER,1057.0,27405.94,42027.78
RESORT AND MISCELLANEOUS,16941.0,25771.67,51957.14
LUBES AND LOTIONS,3452.0,25248.81,38855.28
ADORNMENTS,2408.0,20632.41,33301.98
MENS PRODUCTS,1519.0,19081.05,29327.68
FANTASY WEAR,2170.0,13373.21,20996.63
GIFTS,1981.0,11780.97,19417.75
HOSIERY,1304.0,11221.32,16695.829999999998
BRANDED PROMO PRODUCTS,838.0,6213.91,12091.23
FURNITURE,79.0,2328.16,4699.7
99,94.0,1147.45,1147.47
BOOKS,117.0,726.57,1659.8
APPAREL PIRATES,11.0,155.65,271.15
